Date,Open,High,Low,Close,Adj Close,Volume
2012-05-21,81.419998,82.129997,81.070000,82.040001,82.040001,13730400
2012-05-22,82.139999,82.839996,81.519997,81.949997,81.949997,13790000
2012-05-23,81.790001,82.080002,79.959999,82.040001,82.040001,17582200
2012-05-24,82.290001,82.779999,81.709999,82.610001,82.610001,14113600
2012-05-25,82.860001,82.959999,81.680000,82.080002,82.080002,12756500
2012-05-29,82.639999,82.639999,81.320000,81.930000,81.930000,15931100
2012-05-30,81.080002,81.379997,79.589996,79.790001,79.790001,19593100
2012-05-31,79.879997,80.139999,78.410004,78.629997,78.629997,38954600
2012-06-01,77.870003,78.559998,77.470001,77.919998,77.919998,22870900
2012-06-04,78.089996,78.250000,77.199997,77.830002,77.830002,17711200
2012-06-05,77.589996,78.290001,77.129997,77.599998,77.599998,17715600
2012-06-06,78.370003,80.239998,78.080002,80.180000,80.180000,23880900
2012-06-07,80.980003,81.230003,80.349998,80.690002,80.690002,18409400
2012-06-08,80.080002,80.919998,79.459999,80.839996,80.839996,18150000
2012-06-11,81.620003,81.849998,80.169998,80.269997,80.269997,18031800
2012-06-12,80.739998,81.510002,80.620003,81.260002,81.260002,14162100
2012-06-13,80.940002,81.639999,80.279999,80.629997,80.629997,15098100
2012-06-14,80.860001,82.500000,80.730003,82.129997,82.129997,16942300
2012-06-15,82.570000,83.449997,82.220001,83.220001,83.220001,27342800
2012-06-18,82.510002,83.180000,82.349998,83.110001,83.110001,13885100
2012-06-19,83.730003,84.629997,83.309998,84.480003,84.480003,21053300
2012-06-20,84.400002,85.389999,84.059998,84.970001,84.970001,23274300
2012-06-21,85.040001,85.370003,82.050003,82.110001,82.110001,33751900
2012-06-22,82.680000,83.220001,82.110001,82.110001,82.110001,84747800
2012-06-25,81.220001,81.430000,79.779999,81.239998,81.239998,28761600
2012-06-26,81.510002,82.970001,81.209999,82.400002,82.400002,22853700
2012-06-27,82.809998,83.660004,82.709999,83.199997,83.199997,15301400
2012-06-28,82.660004,83.459999,82.019997,83.099998,83.099998,19140300
2012-06-29,84.779999,85.699997,84.459999,85.570000,85.570000,24906300
2012-07-02,85.440002,85.470001,84.540001,85.339996,85.339996,14447800
2012-07-03,85.690002,86.279999,85.620003,86.279999,86.279999,9787700
2012-07-05,85.330002,86.040001,85.150002,85.570000,85.570000,10797100
2012-07-06,84.260002,85.040001,84.199997,84.800003,84.800003,13259400
2012-07-09,84.519997,84.550003,83.019997,83.650002,83.650002,22361600
2012-07-10,84.080002,84.389999,82.830002,83.110001,83.110001,14106100
2012-07-11,83.480003,84.680000,83.239998,84.379997,84.379997,18337600
2012-07-12,83.410004,84.550003,83.320000,84.120003,84.120003,15566400
2012-07-13,84.449997,85.570000,84.260002,85.470001,85.470001,13642000
2012-07-16,84.830002,85.419998,84.660004,85.050003,85.050003,11269200
2012-07-17,85.180000,85.820000,84.099998,85.730003,85.730003,14059400
2012-07-18,85.339996,86.220001,85.070000,86.209999,86.209999,14203500
2012-07-19,86.019997,86.379997,85.620003,86.209999,86.209999,14902300
2012-07-20,85.870003,86.150002,85.269997,85.949997,85.949997,16838300
2012-07-23,84.800003,85.459999,84.330002,85.209999,85.209999,13597800
2012-07-24,85.209999,85.260002,83.500000,84.580002,84.580002,13948300
2012-07-25,85.139999,85.550003,84.660004,85.239998,85.239998,16566000
